id_fornecedor,cnpj,nome_fornecedor,cidade,uf,porte
174,23155591273083,Beta Tecnologia 174,Curitiba,PE,ME
175,38685150379292,Gamma Construções 175,Recife,AM,MEI
176,22948473923691,Max Limpeza 176,Juazeiro,RS,MÉDIA
177,63870367248923,Gamma Construções 177,Salvador,MA,GRANDE
178,35624807619623,Brasil Obras 178,Porto Alegre,SP,MÉDIA
179,51009213203958,Max Limpeza 179,Salvador,SC,ME
180,11903321738014,Sul Engenharia 180,Recife,GO,EPP
181,27533965257183,Nova Segurança 181,São Paulo,MA,ME
182,14804373486262,Beta Tecnologia 182,Salvador,RS,EPP
183,56439599712581,SUL ENGENHARIA 183,Belo Horizonte,BA,ME
184,45426740845338,Sul Engenharia 184,Salvador,MG,MÉDIA
185,98598043554075,Nova Segurança 185,Juazeiro,BA,GRANDE
186,88750443813385,Central Sistemas 186,Curitiba,RJ,ME
187,58286221139153,Prime Alimentação 187,Porto Alegre,MA,GRANDE
188,26334856900131,Omega Consultoria 188,Porto Alegre,MG,MÉDIA
189,30526284324467,Prime Alimentação 189,São Paulo,PR,MÉDIA
190,61410938953847,Digital Soluções 190,Belo Horizonte,SP,GRANDE
191,35405034144310,Alpha Serviços 191,Belo Horizonte,RN,ME
192,43625272933156,Max Limpeza 192,Manaus,PR,EPP
193,90419284191418,Top Energia 193,Belém,RN,GRANDE
194,19606782146745,Beta Tecnologia 194,Salvador,RS,EPP
195,93235767720318,Max Limpeza 195,Belo Horizonte,SC,MEI
196,85341793859181,Rápida Logística 196,Fortaleza,PA,MÉDIA
197,91238782315897,Prime Alimentação 197,Rio de Janeiro,AM,GRANDE
198,38862667821761,Brasil Obras 198,Fortaleza,MA,EPP
199,80152977664967,Omega Consultoria 199,Belo Horizonte,AM,MÉDIA
200,65465567801075,Brasil Obras 200,Belo Horizonte,MA,ME
201,22109698843357,Max Limpeza 201,São Paulo,PE,GRANDE
202,39077507562796,Norte Transportes 202,Belém,CE,MEI
203,87181492850251,Beta Tecnologia 203,Porto Alegre,PR,ME
204,80572405446571,Omega Consultoria 204,Curitiba,RJ,EPP
205,67560693324733,Sul Engenharia 205,Curitiba,MA,MÉDIA
206,15501982225748,Gamma Construções 206,Rio de Janeiro,AM,ME
207,53008954248547,Central Sistemas 207,São Paulo,RS,MEI
208,64375976309240,Alpha Serviços 208,Manaus,GO,MÉDIA
209,43076062554442,Top Energia 209,Belo Horizonte,BA,ME
210,76325014394748,Rápida Logística 210,Porto Alegre,AM,EPP
211,44151766264671,Top Energia 211,Salvador,SP,EPP
212,31190154367180,Omega Consultoria 212,Fortaleza,AM,GRANDE
213,95397212703691,Prime Alimentação 213,Manaus,PR,GRANDE
214,86877156532778,Brasil Obras 214,Fortaleza,PR,MEI
215,39552508514457,Gamma Construções 215,Rio de Janeiro,PR,MEI
216,96444370863653,Prime Alimentação 216,Porto Alegre,RN,MEI
217,68732859282181,Rápida Logística 217,Recife,RS,MÉDIA
218,59773415579378,Beta Tecnologia 218,Brasília,CE,EPP
219,66962585165235,Digital Soluções 219,Belém,AM,ME
220,25904706761313,Max Limpeza 220,Porto Alegre,MA,EPP
221,28216413637671,Omega Consultoria 221,São Paulo,RN,EPP
222,55297440874591,Digital Soluções 222,Fortaleza,BA,ME
223,21889255957164,Max Limpeza 223,Porto Alegre,PE,EPP
224,67259723185565,Prime Alimentação 224,Rio de Janeiro,BA,MEI
225,75314405622617,Nova Segurança 225,Curitiba,PA,EPP
226,57090470942274,Delta Saúde 226,Salvador,GO,MÉDIA
227,22366713963895,Gamma Construções 227,Sobral,GO,MÉDIA
228,25245597820746,Norte Transportes 228,Rio de Janeiro,RN,MEI
229,63431379500679,Brasil Obras 229,Belém,PA,ME
230,99699386815592,Gamma Construções 230,Rio de Janeiro,RJ,GRANDE
231,95142434181032,Prime Alimentação 231,Brasília,PR,ME
232,74967090631014,Brasil Obras 232,Porto Alegre,MA,MEI
233,18554427568464,Rápida Logística 233,Belo Horizonte,PR,ME
234,25094740254121,Prime Alimentação 234,Porto Alegre,PE,EPP
235,60845554107060,Rápida Logística 235,Recife,BA,GRANDE
236,52833579519370,Alpha Serviços 236,Curitiba,DF,MÉDIA
237,57036859754977,Nova Segurança 237,Rio de Janeiro,DF,EPP
238,92810596819256,Norte Transportes 238,Belém,PR,EPP
239,54293788312163,Central Sistemas 239,São Paulo,BA,MEI
240,22522189938085,Alpha Serviços 240,Salvador,CE,ME
241,20776022807220,Beta Tecnologia 241,Manaus,PR,ME
242,74910266178953,Rápida Logística 242,Porto Alegre,PE,ME
243,69207694755847,Norte Transportes 243,Recife,RS,ME
244,92946111796828,Rápida Logística 244,Sobral,CE,GRANDE
245,70410826757439,Digital Soluções 245,Rio de Janeiro,PA,ME
246,76440818908482,Brasil Obras 246,Belo Horizonte,MG,ME
247,78627892670934,Omega Consultoria 247,Manaus,GO,EPP
248,81570064427757,Delta Saúde 248,Manaus,RS,MÉDIA
249,38299597381624,Alpha Serviços 249,Belo Horizonte,SC,MEI
250,96516790232917,Delta Saúde 250,Rio de Janeiro,MA,EPP
251,94251470599448,Rápida Logística 251,Juazeiro,SP,MÉDIA
252,76374220444921,Nova Segurança 252,Salvador,PE,ME
253,75671713258359,Beta Tecnologia 253,Sobral,SP,EPP
254,95415951942442,Beta Tecnologia 254,Juazeiro,AM,MEI
255,80227133651352,Top Energia 255,Belém,PE,ME
256,22593530438668,Central Sistemas 256,Salvador,PR,EPP
257,98796838104473,Digital Soluções 257,Rio de Janeiro,CE,EPP
258,86170317955947,Beta Tecnologia 258,Belo Horizonte,GO,EPP
259,20663071343885,Brasil Obras 259,Belo Horizonte,MG,MÉDIA
260,89014141673320,Prime Alimentação 260,Brasília,CE,MÉDIA
261,20972950530362,Brasil Obras 261,Salvador,RN,MEI
262,12914076717458,Gamma Construções 262,Curitiba,RS,ME
263,11107241186150,Gamma Construções 263,Recife,MG,MÉDIA
264,75032688842748,Max Limpeza 264,Recife,PE,MÉDIA
265,36582311971350,Central Sistemas 265,Belo Horizonte,AM,GRANDE
266,38385074498011,Prime Alimentação 266,Porto Alegre,RS,ME
267,37173464563991,Gamma Construções 267,Belém,GO,MÉDIA
268,76440345803058,Omega Consultoria 268,Rio de Janeiro,BA,EPP
269,19952956451798,Prime Alimentação 269,Rio de Janeiro,SP,EPP
270,13975390891170,Digital Soluções 270,Porto Alegre,CE,GRANDE
271,35551759800184,Nova Segurança 271,Sobral,MG,EPP
272,13889718195769,Sul Engenharia 272,Belo Horizonte,MA,EPP
273,99919424121569,Delta Saúde 273,Belém,CE,MÉDIA
274,22287210685065,Rápida Logística 274,Porto Alegre,CE,EPP
275,18139665712589,Prime Alimentação 275,Juazeiro,CE,ME
276,87709928126031,Brasil Obras 276,Belo Horizonte,AM,ME
277,31674524507922,Top Energia 277,Belém,MA,MEI
278,86891196799081,TOP ENERGIA 278,Salvador,PR,ME
279,27838380113191,Delta Saúde 279,Brasília,RN,EPP
280,36001756690590,Top Energia 280,Brasília,PE,ME
281,13254643104910,Omega Consultoria 281,Brasília,MA,EPP
282,24069316146482,Sul Engenharia 282,Curitiba,RS,MEI
283,64533265981981,Max Limpeza 283,Sobral,PE,EPP
284,96686910314635,Max Limpeza 284,São Paulo,MA,EPP
285,32039450151569,Norte Transportes 285,Fortaleza,SP,MÉDIA
286,97137658934920,Central Sistemas 286,Belo Horizonte,SP,EPP
287,98844906905771,Rápida Logística 287,Juazeiro,AM,ME
288,83781972854049,Prime Alimentação 288,Recife,MA,MÉDIA
289,13613616510527,Central Sistemas 289,Belo Horizonte,BA,MÉDIA
290,72763657554058,Beta Tecnologia 290,Belém,GO,GRANDE
291,77066930593366,Delta Saúde 291,Brasília,RJ,MEI
292,17742202865949,Delta Saúde 292,Juazeiro,RJ,MEI
293,23969169831975,Beta Tecnologia 293,Belo Horizonte,PR,EPP
294,14772334273711,Norte Transportes 294,Belo Horizonte,RN,EPP
295,34368287189973,Alpha Serviços 295,Fortaleza,SP,ME
296,57029781982076,Nova Segurança 296,Porto Alegre,MA,MEI
297,65038923558314,Prime Alimentação 297,Fortaleza,CE,MEI
298,16318110654610,Delta Saúde 298,Brasília,RN,MÉDIA
299,13811549297288,Nova Segurança 299,Belo Horizonte,RS,EPP
300,51303711738546,Delta Saúde 300,Belo Horizonte,PA,EPP
301,25581505434018,Alpha Serviços 301,Fortaleza,GO,ME
302,79322781265143,Beta Tecnologia 302,Curitiba,PA,ME
303,98202445632750,Top Energia 303,Porto Alegre,GO,EPP
304,58871148805532,Max Limpeza 304,Belo Horizonte,RJ,MEI
305,67276750885360,Alpha Serviços 305,São Paulo,CE,GRANDE
306,50188603230632,Delta Saúde 306,Belém,PA,ME
307,95142199587036,Beta Tecnologia 307,Salvador,SP,MÉDIA
308,47653149620157,Rápida Logística 308,Curitiba,DF,EPP
309,72979834331767,Alpha Serviços 309,Brasília,RJ,MÉDIA
310,49840946946424,Digital Soluções 310,Recife,GO,MÉDIA
311,23359508515455,Norte Transportes 311,Recife,PE,MÉDIA
312,72178767463591,Beta Tecnologia 312,Curitiba,MA,ME
313,52675185216320,Prime Alimentação 313,Manaus,DF,MEI
314,97606525220694,Delta Saúde 314,Curitiba,RS,EPP
315,35026798184037,Omega Consultoria 315,Manaus,CE,ME
316,65322822485079,Max Limpeza 316,São Paulo,BA,ME
317,64988878460666,Central Sistemas 317,Juazeiro,RJ,ME
318,97431634470523,Delta Saúde 318,Sobral,AM,MÉDIA
319,46790479856029,Prime Alimentação 319,Fortaleza,AM,MÉDIA
320,20855704223996,Gamma Construções 320,Belo Horizonte,PR,MEI
321,38533681928313,Top Energia 321,Manaus,PE,GRANDE
322,36880417476552,Rápida Logística 322,Fortaleza,SC,MÉDIA
323,52671940233130,Rápida Logística 323,Curitiba,PR,ME
324,18571790615141,Nova Segurança 324,Brasília,RS,EPP
325,60919470630672,Nova Segurança 325,Manaus,SP,EPP
326,59233198683062,Central Sistemas 326,Brasília,MA,GRANDE
327,68718974654938,Delta Saúde 327,Sobral,BA,EPP
328,32165599808640,Brasil Obras 328,Sobral,PE,ME
329,59422993277248,Central Sistemas 329,Belém,PE,MEI
330,57669731663356,Brasil Obras 330,Sobral,RN,MÉDIA
331,42459159965455,Sul Engenharia 331,Belém,RN,GRANDE
332,82747035762959,Delta Saúde 332,Belém,MA,MÉDIA
333,89776258215491,Beta Tecnologia 333,São Paulo,SC,MÉDIA
334,86520341553275,Beta Tecnologia 334,Brasília,BA,MÉDIA
335,56824759341881,Max Limpeza 335,Fortaleza,SP,MÉDIA
336,32132966382956,Sul Engenharia 336,Sobral,SC,GRANDE
337,85364411445453,Norte Transportes 337,Rio de Janeiro,AM,EPP
338,13749878204214,Sul Engenharia 338,Juazeiro,DF,MÉDIA
339,16485323881584,Sul Engenharia 339,Belo Horizonte,MA,EPP
340,83969766150016,Central Sistemas 340,São Paulo,RN,MEI
341,35255028608739,Digital Soluções 341,São Paulo,CE,ME
342,53880408255675,Top Energia 342,Rio de Janeiro,PR,ME
343,38250402159876,Alpha Serviços 343,Fortaleza,RS,ME
344,91250954113248,Max Limpeza 344,Porto Alegre,SC,MEI
345,84445607735486,Max Limpeza 345,Manaus,PR,MEI
346,47368902434973,Max Limpeza 346,Belo Horizonte,GO,ME
347,23825160315463,Beta Tecnologia 347,Juazeiro,GO,MEI
348,70160914207655,Alpha Serviços 348,Manaus,RS,GRANDE
349,42842742551595,Sul Engenharia 349,Manaus,SP,EPP
350,16894944995850,Top Energia 350,Salvador,BA,MÉDIA
351,79489439481937,Norte Transportes 351,São Paulo,RJ,EPP
352,79353975718822,Brasil Obras 352,Porto Alegre,PE,EPP
353,73486572777644,Digital Soluções 353,Manaus,SC,MÉDIA
354,93308456676739,Beta Tecnologia 354,Fortaleza,PE,MÉDIA
355,10965488707328,Delta Saúde 355,São Paulo,RS,ME
356,78087384572551,Delta Saúde 356,Manaus,BA,ME
357,24737617740224,Delta Saúde 357,Sobral,DF,MÉDIA
358,47597834852591,Prime Alimentação 358,São Paulo,RS,ME
359,99021969962159,Central Sistemas 359,Brasília,DF,GRANDE
360,28043248855081,Gamma Construções 360,Brasília,CE,MÉDIA
361,99128948685722,Sul Engenharia 361,São Paulo,PA,ME
362,55261197503385,Gamma Construções 362,Manaus,AM,MEI
363,45331544395717,Omega Consultoria 363,Rio de Janeiro,AM,MÉDIA
364,85191088779713,Central Sistemas 364,Juazeiro,CE,ME
365,49040112531651,Delta Saúde 365,Belo Horizonte,RN,EPP
366,92703809235537,Digital Soluções 366,Recife,GO,MEI
367,26283398319690,Rápida Logística 367,Recife,SC,MEI
368,94664990140166,Beta Tecnologia 368,São Paulo,CE,ME
369,30956705273235,Central Sistemas 369,Curitiba,AM,ME
370,27494831541198,Brasil Obras 370,Fortaleza,RN,ME
371,62780064750853,Digital Soluções 371,Fortaleza,MA,ME
372,11251654175633,Digital Soluções 372,São Paulo,SC,MÉDIA
373,31930070856485,Prime Alimentação 373,Belém,RS,MEI
374,86870923673759,Beta Tecnologia 374,Porto Alegre,PR,EPP
375,68423413466069,Alpha Serviços 375,Fortaleza,SP,ME
376,81499846786564,Max Limpeza 376,Fortaleza,PE,ME
377,15229763752342,Prime Alimentação 377,Brasília,PA,EPP
378,76930055585588,Digital Soluções 378,Salvador,RN,GRANDE
379,40461083938185,Alpha Serviços 379,Porto Alegre,SP,MÉDIA
380,39799631534257,Beta Tecnologia 380,Rio de Janeiro,RJ,EPP
381,79176482720185,Rápida Logística 381,São Paulo,PE,GRANDE
382,43288100554248,Brasil Obras 382,Juazeiro,PR,ME
383,91859701374462,Digital Soluções 383,Recife,AM,MÉDIA
384,20814952865144,Delta Saúde 384,Recife,SC,MEI
385,40653171624554,Gamma Construções 385,Recife,MG,MEI
386,86317867578256,Sul Engenharia 386,Belém,RJ,EPP
387,19448174119745,Central Sistemas 387,Curitiba,MG,MÉDIA
388,99838541925565,Central Sistemas 388,Belém,RJ,EPP
389,66774900452325,Delta Saúde 389,Porto Alegre,PA,ME
390,10769205404938,DIGITAL SOLUÇÕES 390,Sobral,SP,GRANDE
391,27244270333212,Sul Engenharia 391,Salvador,PE,ME
392,64716416934671,Rápida Logística 392,Belém,PA,ME
393,50338659478137,Alpha Serviços 393,Porto Alegre,RS,MEI
394,22816547638560,Gamma Construções 394,Sobral,CE,GRANDE
395,10658301473934,Sul Engenharia 395,Juazeiro,MG,MEI
396,25325355732656,Alpha Serviços 396,Sobral,RJ,MÉDIA
397,67039278742097,Sul Engenharia 397,Porto Alegre,PE,ME
398,82248637658288,Omega Consultoria 398,Belo Horizonte,RS,ME
399,52975528986177,Rápida Logística 399,Belo Horizonte,AM,ME
400,68579500912955,Brasil Obras 400,Belém,RN,ME
401,74862634356295,Brasil Obras 401,Belém,PA,ME
402,66103064803751,Central Sistemas 402,Sobral,RS,MÉDIA
403,88012128166720,Omega Consultoria 403,Manaus,RS,GRANDE
404,55640483759082,Sul Engenharia 404,Belém,PE,MEI
405,49607982684659,Top Energia 405,Fortaleza,RS,MEI
406,45891537136480,Top Energia 406,Manaus,RJ,MÉDIA
407,97283359196597,Brasil Obras 407,Porto Alegre,DF,MÉDIA
408,23861173359383,Prime Alimentação 408,São Paulo,SP,EPP
409,76037814973276,Max Limpeza 409,Recife,BA,ME
410,67330763411810,Top Energia 410,Fortaleza,PA,ME
411,97131409295544,Central Sistemas 411,Porto Alegre,AM,GRANDE
412,55736167799595,Gamma Construções 412,Rio de Janeiro,PE,ME
413,54072976887497,Delta Saúde 413,São Paulo,RN,ME
414,87384561518438,Omega Consultoria 414,Brasília,RS,ME
415,98012527317646,Delta Saúde 415,Brasília,RJ,EPP
416,16662744814267,Alpha Serviços 416,Rio de Janeiro,RN,EPP
417,17633734299759,Nova Segurança 417,Sobral,PE,MÉDIA
418,58637093821733,Top Energia 418,Porto Alegre,PE,EPP
419,93223149499983,Prime Alimentação 419,Manaus,SP,MÉDIA
420,31454294133214,Alpha Serviços 420,Manaus,MG,MÉDIA
421,43543210957714,Top Energia 421,Belo Horizonte,SP,EPP
422,43208028198392,Norte Transportes 422,Salvador,RS,ME
423,70777505786373,Alpha Serviços 423,Sobral,SC,ME
424,69132391796210,Alpha Serviços 424,Rio de Janeiro,RS,MEI
425,87891088765875,Nova Segurança 425,Porto Alegre,BA,GRANDE
426,45409292820743,Central Sistemas 426,Porto Alegre,CE,ME
427,14406733916930,Prime Alimentação 427,Belo Horizonte,MG,MÉDIA
